date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:50	293/293	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202017%2010:19:50%20GMT	http://localhost/robots.txt		(from )
11:19:51	37310/37310	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:19:50%20GMT	http://localhost/mnazportfolio/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/index.html	(from )
11:19:51	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-55e332e896a99%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/MNAZfavicon.ico	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/MNAZfavicon.ico	(from http://localhost/mnazportfolio/)
11:19:53	22032/22032	---M--	200	added ('OK')	text/css	etag:%225610-55f30b3d069b9%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/css/font-awesome.min.css	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/css/font-awesome.min.css	(from http://localhost/mnazportfolio/)
11:19:54	113585/113585	---M--	200	added ('OK')	text/css	etag:%221bbb1-55b48696dd422%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/css/bootstrap.min.css	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/css/bootstrap.min.css	(from http://localhost/mnazportfolio/)
11:19:56	546/546	---M--	200	added ('OK')	text/css	etag:%22222-55eade174b3a7%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/style.css	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/style.css	(from http://localhost/mnazportfolio/)
11:19:56	52822/52822	---M--	200	added ('OK')	text/css	etag:%22ce56-55e05109d40db%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/css/animate.css	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/css/animate.css	(from http://localhost/mnazportfolio/)
11:19:57	2072/2072	---M--	200	added ('OK')	image/png	etag:%22818-54c920df1afda%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ-mini.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ-mini.png	(from http://localhost/mnazportfolio/)
11:19:57	6988/6988	---M--	200	added ('OK')	image/webp	etag:%221b4c-55b484206df27%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ-logo.webp	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ-logo.webp	(from http://localhost/mnazportfolio/)
11:19:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202017%2010:19:57%20GMT	http://localhost/mnazportfolio/contact	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/contact	(from http://localhost/mnazportfolio/)
11:19:59	8201/8201	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:19:57%20GMT	http://localhost/mnazportfolio/contact/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/contact/index.html	(from http://localhost/mnazportfolio/)
11:20:01	14513/14513	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:19:59%20GMT	http://localhost/mnazportfolio/portfolio/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/index.html	(from http://localhost/mnazportfolio/)
11:20:01	14920/14920	---M--	200	added ('OK')	image/png	etag:%223a48-55ad203b30a80%22	http://localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnailmwlogo.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnailmwlogo.png	(from http://localhost/mnazportfolio/)
11:20:02	7453/7453	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:01%20GMT	http://localhost/mnazportfolio/about/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/about/index.html	(from http://localhost/mnazportfolio/)
11:20:02	23116/23116	---M--	200	added ('OK')	image/png	etag:%225a4c-55d77836837e9%22	http://localhost/mnazportfolio/wp-content/uploads/2017/11/thumbnail-Mohcine-NAZRHAN-portfolio-responsive-website.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/11/thumbnail-Mohcine-NAZRHAN-portfolio-responsive-website.png	(from http://localhost/mnazportfolio/)
11:20:03	56420/56420	---M--	200	added ('OK')	image/png	etag:%22dc64-55d7790326862%22	http://localhost/mnazportfolio/wp-content/uploads/2017/11/thumbnail-Mohcine-NAZRHAN-blog-responsive-website.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/11/thumbnail-Mohcine-NAZRHAN-blog-responsive-website.png	(from http://localhost/mnazportfolio/)
11:20:03	10191/10191	---M--	200	added ('OK')	image/png	etag:%2227cf-55ad205586bdc%22	http://localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnailpslogo.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnailpslogo.png	(from http://localhost/mnazportfolio/)
11:20:05	17732/17732	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:03%20GMT	http://localhost/mnazportfolio/portfolio/mohcine-nazrhan-blog-responsive-website/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/mohcine-nazrhan-blog-responsive-website/index.html	(from http://localhost/mnazportfolio/)
11:20:05	18128/18128	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:04%20GMT	http://localhost/mnazportfolio/portfolio/mohcine-nazrhan-portfolio-responsive-website/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/mohcine-nazrhan-portfolio-responsive-website/index.html	(from http://localhost/mnazportfolio/)
11:20:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202017%2010:20:05%20GMT	http://localhost/mnazportfolio/portfolio	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio	(from http://localhost/mnazportfolio/)
11:20:05	23271/23271	---M--	200	added ('OK')	image/png	etag:%225ae7-55b1dcaba643e%22	http://localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnail-play-agian-lgog.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnail-play-agian-lgog.png	(from http://localhost/mnazportfolio/)
11:20:07	20926/20926	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:05%20GMT	http://localhost/mnazportfolio/portfolio/branding-design-for-my-watchs-facebook-page/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/branding-design-for-my-watchs-facebook-page/index.html	(from http://localhost/mnazportfolio/)
11:20:07	15421/15421	---M--	200	added ('OK')	image/png	etag:%223c3d-55b1c27b4508a%22	http://localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnail-LOGO-DESIGN-FOR-SPANISH-CLOTHING-BRAND-logo.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/uploads/2017/01/thumbnail-LOGO-DESIGN-FOR-SPANISH-CLOTHING-BRAND-logo.png	(from http://localhost/mnazportfolio/)
11:20:07	16699/16699	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:05%20GMT	http://localhost/mnazportfolio/portfolio/logo-for-play-again-youtube-channel/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/logo-for-play-again-youtube-channel/index.html	(from http://localhost/mnazportfolio/)
